x,y,z
0.0,0.0,22.4666666666667
1.0,0.0,69.0
2.0,0.0,71.0
3.0,0.0,64.0
4.0,0.0,58.1833333333333
5.0,0.0,30.0
6.0,0.0,66.0
7.0,0.0,65.0
0.0,1.0,73.0
1.0,1.0,69.0
2.0,1.0,73.0
3.0,1.0,55.0
4.0,1.0,60.0
5.0,1.0,51.3
6.0,1.0,73.0
7.0,1.0,73.0
0.0,2.0,66.0
1.0,2.0,73.0
2.0,2.0,59.6166666666667
3.0,2.0,44.9666666666667
4.0,2.0,59.6833333333333
5.0,2.0,62.0
6.0,2.0,66.0
7.0,2.0,71.9833333333333
0.0,3.0,63.1666666666667
1.0,3.0,66.3166666666667
2.0,3.0,32.5166666666667
3.0,3.0,38.45
4.0,3.0,80.0
5.0,3.0,70.45
6.0,3.0,68.3666666666667
7.0,3.0,56.0
0.0,4.0,69.0
1.0,4.0,48.3166666666667
2.0,4.0,66.0833333333333
3.0,4.0,71.0
4.0,4.0,86.9333333333333
5.0,4.0,79.0
6.0,4.0,62.0
7.0,4.0,68.0
0.0,5.0,75.0
1.0,5.0,70.0
2.0,5.0,58.2333
3.0,5.0,78.0
4.0,5.0,61.0
5.0,5.0,76.0
6.0,5.0,73.0167
7.0,5.0,73.9
0.0,6.0,75.5333333333333
1.0,6.0,68.0
2.0,6.0,76.0
3.0,6.0,79.7
4.0,6.0,78.15
5.0,6.0,79.0
6.0,6.0,68.5
7.0,6.0,73.8833333333333
0.0,7.0,77.0
1.0,7.0,77.55
2.0,7.0,77.2
3.0,7.0,70.0
4.0,7.0,76.2833
5.0,7.0,74.0
6.0,7.0,72.0
7.0,7.0,58.0667
